Date,China,India,Norway,US,Japan,Thailand,Chile,vietnam,Indonesia
15/01/2012,-0.67438056,-0.186160858,0.069656721,0.579269761,0.321755088,0.169888409,0.342704495,0.167880873,0.00896867
15/02/2012,-0.67438056,-0.186160858,0.069656721,0.579269761,0.321755088,0.169888409,0.342704495,0.167880873,0.00896867
15/03/2012,0.485350156,0.032074077,0.069884366,0.204340548,0.098072478,0.031771116,-0.054536503,0.035718083,0.008888947
15/04/2012,0.03128862,-0.021543566,-0.273438233,-0.050656735,-0.005588882,-0.204554376,0.313208021,-0.203598955,0.00881063
15/05/2012,0.032285563,0.128599154,0.078911283,-0.351354026,-0.30110682,0.101738685,0.054697255,0.102129495,0.017391743
15/06/2012,-0.139608698,0.04941455,0.043176167,0.068536245,0.09969383,-0.02621873,-0.120292931,-0.029558802,-0.128617378
15/07/2012,0.043139818,-0.002438462,-0.165453614,0.329619826,-0.167196261,0.048910635,0.108805894,0.048790164,0.009756175
15/08/2012,0.021666739,0.194583597,0.118567371,0.301286885,0.07947726,-0.02747845,0.200603376,-0.028987537,-0.009756175
15/09/2012,0.124057154,0.24837047,0.049170931,-0.15264939,0.084598498,0.033782884,-0.96807111,0.038466281,0.057158414
15/10/2012,-0.033129024,0.136913534,0.293189532,-0.09782681,0.103429277,0.039893837,1.059893061,0.037041272,0.036367644
15/11/2012,0.172213585,-0.150665963,0.005119328,-0.230799492,0.009190406,0.01072588,-1.084963738,0.009049836,0.008888947
15/12/2012,0.075139663,-0.131158658,-0.229085511,-0.225681268,0.084100244,-0.20429667,0.386496647,-0.198670695,0.026202372
15/01/2013,-0.020260364,-0.346490085,0.087308647,-0.395509656,-0.323428207,-0.118612205,-0.221805666,0.198670695,0.033901552
15/02/2013,-0.542932432,0.047034213,-0.134779734,0.525578836,0.215433955,-0.005516168,-0.833506839,-0.009049836,0.048790164
15/03/2013,0.234712821,0.15949612,0.090662069,0.127715516,0.394863331,0.15893686,0.874886198,0.159332039,0.00790518
15/04/2013,0.203246078,-0.075225965,-0.030456469,0.133306902,0.089999554,-0.137052438,0.450719197,-0.132424586,0.023347364
15/05/2013,-0.042658661,0.060313415,0.096069043,-0.396051734,-0.151974249,0.165462024,0.092794894,0.16296131,-0.007722046
15/06/2013,-0.145936741,0.2113068,-0.104170129,-0.060847197,-0.074588538,-0.162567107,0.864399804,-0.16296131,0.007722046
15/07/2013,0.066594629,0.215974152,0.032832497,0.518060746,0.062705918,-0.096004196,-0.720376398,-0.09265883,-0.007722046
15/08/2013,0.024420007,0.153089063,0.017943394,0.298028354,0.046150057,0.06069949,-1.733172158,0.056618894,0.052842481
15/09/2013,0.023517941,0.238827951,0.121047476,0.005832845,-0.164004692,0.045657559,1.094375769,0.044850566,0.036105005
15/10/2013,0.092250821,0.091897755,0.330204536,-0.162979834,0.095973842,0.022443186,0.669954299,0.025975486,0.007067167
15/11/2013,0.095217803,-0.113981186,-0.117481518,-0.369668793,0.013055094,-0.095216935,-0.09172185,-0.098734841,0.027779564
15/12/2013,0.095331477,-0.066611154,-0.040130976,-0.229516045,0.150486728,-0.019470375,-0.3465673,-0.019048195,0.033673215
15/01/2014,0.017646311,-0.369727904,-0.051121192,-0.291831556,-0.514450811,0.154001268,-0.445289035,0.207639365,0.013158085
15/02/2014,-1.047515166,0.116209112,-0.08892233,0.375472261,0.201252646,-0.131867776,-0.230687547,-0.133531393,0
15/03/2014,0.706523616,0.051131618,0.059971064,0.400603692,0.228177161,0.102389659,0.167975344,0.101782694,-0.013158085
15/04/2014,0.160553497,-0.127193286,-0.007893545,-0.17166994,0.092152885,-0.01207632,0.21009971,-0.00809721,0.013158085
15/05/2014,0.033399947,0.006594527,-0.116430568,-0.077541168,-0.142844394,0.012445596,-0.077491143,0.00809721,0.006514681
15/06/2014,-0.071993879,0.076890345,-0.053665194,-0.310850589,-0.004541565,-0.058147077,-0.46156327,-0.058107631,-0.006514681
15/07/2014,0.043471328,0.170334678,0.03131434,0.559297863,0.122978418,-0.009040942,1.284505846,-0.008583744,0.050966444
15/08/2014,0.033195739,0.174773123,-0.05025389,0.298822153,0.029243449,0.0084538,-0.739875122,0.008583744,0.012345836
15/09/2014,0.02046531,0.059989602,0.25174699,-0.117942981,-0.262872003,0.158949528,0.361817909,0.16507975,0.006116227
